 BlockNumber  EventNumber    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1           -1                  0         4.00      5.00119      5.91664      0.91545 
           1            2           -1                  0         4.00      6.03400      6.94948      0.91548 
           1            3           -1                  0         4.00      7.06671      7.98302      0.91631 
           1            4           -1                  0         4.00      8.09995      9.01628      0.91633 
           1            5           -1                  0         4.00      9.13338     10.04954      0.91616 
           1            6           -1                  0         4.00     10.16674     11.08295      0.91621 
           1            7           -1                  0         4.00     11.20017     12.11619      0.91602 
           1            8           -1                  0         4.00     12.23340     13.14956      0.91617 
           1            9           -1                  1         4.00     13.26845     14.18296      0.91450 
           1           10           -1                  0         4.00     14.30025     15.21621      0.91596 
           1           11           -1                  0         4.00     15.33332     16.24960      0.91628 
           1           12           -1                  0         4.00     16.36654     17.28290      0.91636 
           2            1          180                  0         4.00     17.41991     18.33290      0.91299 
           2            2            0                  1         4.00     18.45215     19.36615      0.91400 
           2            3           90                  0         4.00     19.48326     20.39952      0.91626 
           2            4          270                  0         4.00     20.51663     21.43278      0.91615 
           2            5          180                  0         4.00     21.54993     22.46613      0.91621 
           2            6           90                  0         4.00     22.58328     23.49944      0.91616 
           2            7          180                  0         4.00     23.61662     24.53281      0.91619 
           2            8           90                  0         4.00     24.64988     25.56612      0.91625 
           2            9            0                  0         4.00     25.68329     26.59947      0.91618 
           2           10          270                  0         4.00     26.71636     27.63276      0.91640 
           2           11          270                  0         4.00     27.74985     28.66610      0.91625 
           2           12            0                  0         4.00     28.78323     29.69915      0.91592 
