 BlockNumber  EventNumber    Direction   IsFixationTarget        Speed        Onset          End     Duration 
           1            1           -1                  0         4.00      5.00297      6.23660      1.23363 
           1            2           -1                  0         4.00      6.35496      7.56988      1.21492 
           1            3           -1                  1         4.00      7.68834      8.90286      1.21452 
           1            4           -1                  0         4.00      9.02163     10.23676      1.21513 
           1            5           -1                  0         4.00     10.35431     11.57078      1.21647 
           1            6           -1                  0         4.00     11.68978     12.90296      1.21318 
           1            7           -1                  0         4.00     13.02099     14.23626      1.21527 
           1            8           -1                  1         4.00     14.35432     15.56981      1.21549 
           1            9           -1                  0         4.00     15.68767     16.90274      1.21507 
           1           10           -1                  0         4.00     17.02064     18.23623      1.21559 
           1           11           -1                  0         4.00     18.35423     19.56952      1.21529 
           1           12           -1                  0         4.00     19.68759     20.90283      1.21524 
           2            1          180                  0         4.00     29.03938     30.25268      1.21330 
           2            2          270                  1         4.00     30.37077     31.58604      1.21527 
           2            3          270                  0         4.00     31.70272     32.91933      1.21661 
           2            4          180                  0         4.00     33.03741     34.25268      1.21527 
           2            5            0                  0         4.00     34.37076     35.58595      1.21519 
           2            6           90                  0         4.00     35.70299     36.91925      1.21626 
           2            7          270                  0         4.00     37.03651     38.25260      1.21609 
           2            8            0                  0         4.00     38.37069     39.58592      1.21523 
           2            9           90                  0         4.00     39.70396     40.91922      1.21526 
           2           10           90                  0         4.00     41.03728     42.25252      1.21524 
           2           11          180                  1         4.00     42.37063     43.58585      1.21522 
           2           12            0                  0         4.00     43.70343     44.91917      1.21574 
